,Sr. No.,Date (dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Investment Type,Amount (in USD)
0,1,01/08/2015,Snapdeal,Ecommerce Marketplace,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,"500,000,000",Late Stage Round 7th (More details)
1,2,01/08/2015,Ressy,Restaurant Discount app,Pune,Mohandas Pai & others,Seed Funding,"400,000",
2,3,03/08/2015,Cuelearn,Tech-enabled learning,New Delhi,Alok Mittal,Seed Funding,N/A,
3,4,03/08/2015,Connect India,ECommerce Logistics provider,New Delhi,Aavishkaar,Private Equity,"5,000,000",Series A
4,5,03/08/2015,The Home Salon,on-demand home beauty and wellness portal,Mumbai,VentureNursery,Seed Funding,N/A,
5,6,03/08/2015,Jusride,Self Driven Car rental,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,N/A,
6,7,03/08/2015,Oyorooms,Budget Hotel accommodation brand,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,  Lightspeed India",Private Equity,"100,000,000",Series B
7,8,03/08/2015,Glowship,Energy & Environment Online Marketplace,Bangalore,Infuse Ventures,Seed Funding,N/A,
8,9,03/08/2015,Wizrocket,User Engagment & Analytics platform,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,"9,600,000",Series B
9,10,04/08/2015,Pickingo,On-Demand Delivery Logistics,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,"1,300,000",Series A
10,11,05/08/2015,Grex,fund raising platform for startups,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,"650,000",
11,12,05/08/2015,LetsTransport,Logistics Tech Platform,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,"1,300,000",
12,13,05/08/2015,Zo Rooms,Online budget hotel chain,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,"30,000,000",Series A
13,14,05/08/2015,Doormint,Hyperlocal Handyman services,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,"3,000,000",Series A
14,15,05/08/2015,NightStay,hotel booking app,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,"500,000",
15,16,05/08/2015,Zocalo,Rental Accomodation finder,New Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,N/A,
16,17,05/08/2015,Sunday Realty Solutions,Tech Platform for property brokers,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,"785,000",
17,18,06/08/2015,Klozee,Luxury Apparel rental,Bangalore,Tracxn Labs,Seed Funding,N/A,
18,19,06/08/2015,Appvigil,App security  testing platform,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,"500,000",pre Series-A
19,20,06/08/2015,practo,Doctor Appointment booking app,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,"90,000,000",Series C
20,21,06/08/2015,LoudShout,anonymous bulletin board app,New Delhi,"Sanjay Sethi, Ravi Jaipuria & others",Seed Funding,N/A,
21,22,06/08/2015,Wetravelsolo,Travel community platform,New Delhi,"CCube Angels, Frontline Strategy",Seed Funding,N/A,
22,23,06/08/2015,Ketto,Crowd funding platform,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,"700,000",
23,23,06/08/2015,Ezetap,Mobile based PoS solution,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,"25,000,000",Series C
24,24,06/08/2015,NDTV ecommerce venture,Car & Bike ecommerce platform,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",Private Equity,N/A,Series A
25,25,07/08/2015,Carl’s Jr,Fast food Chain Franchisee,Gurgaon,YouWeCan Ventures,Seed Funding,"630,000",
26,26,07/08/2015,EasyRewardz,Loyalty Programs & Reward Points,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,"500,000",Pre-Series A
27,27,07/08/2015,GIBSS,Energy saving solutions provider,Mumbai,"responsAbility Investments, Infuse Ventures",Private Equity,N/A,Series A
28,28,07/08/2015,StoreMore.in,Self-Storage Spaces,Noida,Bedrock Ventures,Seed Funding,N/A,
29,29,07/08/2015,iOrderFresh,Grocery retail Mobile app,New Delhi,Best Foodworks,Seed Funding,N/A,
30,30,10/08/2015,MyTaxiIndia,Taxi Rental platform,Gurgaon,"Nihon Kotsu,",Private Equity,"500,000",Pre Series-A
31,31,10/08/2015,eSadar,ecommerce,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,"80,000",
32,32,10/08/2015,Actionable Analytics,Machine Learning Platform,New Delhi/ Houston,"B M Gupta, Vinod Singhal",Seed Funding,N/A,
33,33,10/08/2015,MyPoolin,mobile social network,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,"250,000",QPrize Contest Winners
34,34,10/08/2015,NearBuy (previously  groupon India),Hyper-Local Ecommerce,New Delhi,Sequoia Capital,Private Equity,"16,000,000",Series A
35,35,10/08/2015,Inkmonk,Online printing marketplace,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,"250,000",
36,36,10/08/2015,ToneTag,mobile payment software platform,Bangalore,Reliance Capital Venture,Private Equity,"1,000,000",Series A
37,37,10/08/2015,Grey Orange,Automated Storage & Warehousing Solution,Gurgaon,Tiger Global Management,Private Equity,"30,000,000",Series B
38,38,11/08/2015,Livspace,Home Design & Décor solutions,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,"8,000,000",Series A
39,39,11/08/2015,WOW! MOMO,Quick Service Restaurant Chain,Kolkata,Indian Angel Network,Seed Funding,"1,600,000",
40,40,11/08/2015,RainCan,Subscription based Online Grocery platform,Pune,Ajeet Khurana & Others,Seed Funding,"100,000",
41,41,11/08/2015,Allygrow Technologies,engineering services company,Mumbai,Zodius Technology Fund,Private Equity,"20,000,000",Series A
42,42,11/08/2015,Infogain,Business and IT consulting,New Delhi / US,ChrysCapital,Private Equity,"63,000,000",N/A
43,43,12/08/2015,OneAssist,Credit Card Fraud protection solutions,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,"7,500,000",Series B
44,44,12/08/2015,BigBasket,Online & mobile Grocery store,Bangalore,Bessemer Venture Partners,Private Equity,"50,000,000",Series C
45,45,12/08/2015,Sheroes,Career Community for Women,Noida,"Quintillion Media, 500 Startups",Seed Funding,"770,000",
46,46,12/08/2015,Scripbox,Mutual Fund Investing platform,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,"2,500,000",Series A
47,47,13/08/2015,betaout,Ecommerce Marketing Software Platform,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &  Group of other Angel investors",Seed Funding,"500,000",
48,48,13/08/2015,IFMR Holdings,Financial Inclusion platform,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,"25,000,000",Series B
49,49,13/08/2015,Massblurb,Digital Marketing automation solution,Mumbai,"LetsVenture, Mumbai Angels",Seed Funding,N/A,
50,50,13/08/2015,Agrostar,Mobile Commerce for Farmers,Pune,IDG Ventures,Private Equity,"4,000,000",Series A
51,51,14/08/2015,VoxWeb,Picture based Social App,Mumbai,Jitendra Gupta & others,Seed Funding,"100,000",
52,52,14/08/2015,Trukky,Logistics service platform,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Seed Funding,"245,000",
53,53,14/08/2015,VanityCube,On-Demand Beauty Services,New Delhi,Group of angel investors,Seed Funding,N/A,
54,54,17/08/2015,Edu4Share,Exam Preparation Platform,New Delhi,Nalin Jain & other angel investors,Seed Funding,"220,000",
55,55,17/08/2015,YourStory,Startup Focused Online Publisher,Mumbai,"Ratan Tata, Vani Kola, T V Mohandas Pai, Karthee Madasamay",Seed Funding,N/A,
56,56,17/08/2015,Sampurnearth,Waste Management Solutions,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding,"160,000",
57,57,17/08/2015,Orobind,App based Fitness coaching,Bangalore,Existing & New Investors,Private Equity,N/A,pre series A
58,58,17/08/2015,Fixy,On demand cleaning & fixing services,Mumbai,VentureNursery,Seed Funding,N/A,
59,59,17/08/2015,MSM Box,Beauty & Lifestyle platform,New Delhi,Rohit Goel,Seed Funding,N/A,
60,60,17/08/2015,ShadowFax,on-demand delivery service,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed Funding,"310,000",
61,61,17/08/2015,Gadgets 360,Car & Bike ecommerce platform,New Delhi,One97 Communications,Private Equity,N/A,Strategic Investment
62,62,18/08/2015,Roposo,Fashion Discovery platform,Gurgaon,Tiger Global,Private Equity,"15,000,000",Series B
63,63,18/08/2015,IntelligenceNODE,Data Analytics Platform,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,"4,200,000",Series A
64,64,18/08/2015,HyperVerge,Deep Learning Cloud Algorithms,Chennai,"NEA, Milliways Ventures, Naya Ventures",Seed Funding,"1,000,000",
65,65,18/08/2015,Twyst,Location based engagement & rewards platform,Gurgaon,"Rohit Bhatia, Sunil Nikhar, Vaibhav Domkundwar, Siddharth Nautiyal",Seed Funding,N/A,
66,66,18/08/2015,IDfy,Online Identity Verification Services platform,Mumbai,"NEA, Blume Ventures & others",Private Equity,N/A,Series A
67,67,18/08/2015,Zoojoo.be,Corporate Wellness App,Bangalore,RoundGlass Partners,Private Equity,"1,000,000",Series A
68,68,19/08/2015,Fashionove,Fashion Search & Review Platform,Kolkata,Umesh Yadav,Seed Funding,N/A,
69,69,19/08/2015,TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",Mumbai,Unilazer Ventures,Private Equity,"2,400,000",
