,Date,Year,Month,Startup,IndustryVertical,SubVertical,City,InvestorName,InvestmentType,NewAmount
0,2015-01-08,2015.0,1.0,Snapdeal,Ecommerce Marketplace,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,Undisclosed Investors,500000000.0
1,2015-01-08,2015.0,1.0,Ressy,Restaurant Discount app,Pune,Mohandas Pai & others,Seed Funding,Undisclosed Investors,0.0
3,2015-03-08,2015.0,3.0,Connect India,ECommerce Logistics provider,New Delhi,Aavishkaar,Private Equity,Undisclosed Investors,5000000.0
6,2015-03-08,2015.0,3.0,Oyorooms,Budget Hotel accommodation brand,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,  Lightspeed India",Private Equity,Undisclosed Investors,100000000.0
8,2015-03-08,2015.0,3.0,Wizrocket,User Engagment & Analytics platform,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,Undisclosed Investors,9600000.0
9,2015-04-08,2015.0,4.0,Pickingo,On-Demand Delivery Logistics,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,Undisclosed Investors,1300000.0
10,2015-05-08,2015.0,5.0,Grex,fund raising platform for startups,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,Undisclosed Investors,0.0
11,2015-05-08,2015.0,5.0,LetsTransport,Logistics Tech Platform,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,Undisclosed Investors,0.0
12,2015-05-08,2015.0,5.0,Zo Rooms,Online budget hotel chain,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,Undisclosed Investors,30000000.0
13,2015-05-08,2015.0,5.0,Doormint,Hyperlocal Handyman services,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,Undisclosed Investors,3000000.0
14,2015-05-08,2015.0,5.0,NightStay,hotel booking app,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,Undisclosed Investors,0.0
16,2015-05-08,2015.0,5.0,Sunday Realty Solutions,Tech Platform for property brokers,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,Undisclosed Investors,0.0
18,2015-06-08,2015.0,6.0,Appvigil,App security  testing platform,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,Undisclosed Investors,500000.0
19,2015-06-08,2015.0,6.0,practo,Doctor Appointment booking app,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,Undisclosed Investors,90000000.0
22,2015-06-08,2015.0,6.0,Ketto,Crowd funding platform,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,Undisclosed Investors,0.0
23,2015-06-08,2015.0,6.0,Ezetap,Mobile based PoS solution,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,Undisclosed Investors,25000000.0
25,2015-07-08,2015.0,7.0,Carl’s Jr,Fast food Chain Franchisee,Gurgaon,YouWeCan Ventures,Seed Funding,Undisclosed Investors,0.0
26,2015-07-08,2015.0,7.0,EasyRewardz,Loyalty Programs & Reward Points,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,Undisclosed Investors,500000.0
30,2015-10-08,2015.0,10.0,MyTaxiIndia,Taxi Rental platform,Gurgaon,"Nihon Kotsu,",Private Equity,Undisclosed Investors,500000.0
31,2015-10-08,2015.0,10.0,eSadar,ecommerce,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,Undisclosed Investors,0.0
33,2015-10-08,2015.0,10.0,MyPoolin,mobile social network,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,Undisclosed Investors,250000.0
34,2015-10-08,2015.0,10.0,NearBuy (previously  groupon India),Hyper-Local Ecommerce,New Delhi,Sequoia Capital,Private Equity,Undisclosed Investors,16000000.0
35,2015-10-08,2015.0,10.0,Inkmonk,Online printing marketplace,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,Undisclosed Investors,0.0
36,2015-10-08,2015.0,10.0,ToneTag,mobile payment software platform,Bangalore,Reliance Capital Venture,Private Equity,Undisclosed Investors,1000000.0
